grid_cell,X_ELEMENT_,X_Axis_0_,X_Axis_1_,X_ENDC_CWE_,X_ENDC_RICHNESS_,Total_Specimens,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,geometry
10,'-172500:442500',-172500,442500,0.020833333,1,2,7.911916732788086,17.166166305541992,-0.5453333258628845,414,66,9,52.528018951416016,182,41,41,160,15.939833641052246,43.791954040527344,726.63629150390625,29.483999252319336,-6.914999961853027,36.39899826049805,0.05583333969116211,17.166166305541992,"list(c(-122.162296295678, -121.993088774306, -121.993088774306, -122.162296295678, -122.162296295678, 41.9160223315605, 41.9160223315605, 42.0511574666956, 42.0511574666956, 41.9160223315605))"
11,'-157500:442500',-157500,442500,0.009651356,10,40,8.236958503723145,17.463333129882812,-0.3118334710597992,360,53,9,47.089141845703125,150,38,38,133,16.121749877929688,44.01362228393555,730.22393798828125,29.81599998474121,-6.813000202178955,36.62900161743164,0.284499853849411,17.463333129882812,"list(c(-121.98167789517, -121.812470373797, -121.812470373797, -121.98167789517, -121.98167789517, 41.9188584274017, 41.9188584274017, 42.0539935625368, 42.0539935625368, 41.9188584274017))"
12,'-142500:442500',-142500,442500,0.048743797,18,53,8.423583030700684,17.0488338470459,0.32600006461143494,329,45,8,43.785186767578125,128,35,42,116,15.901999473571777,45.064754486083984,688.17620849609375,29.240999221801758,-6.046000003814697,35.2869987487793,0.8666666746139526,16.970333099365234,"list(c(-121.801045721488, -121.631838200115, -121.631838200115, -121.801045721488, -121.801045721488, 41.9214368043617, 41.9214368043617, 42.0565719394968, 42.0565719394968, 41.9214368043617))"
13,'-127500:442500',-127500,442500,0.035486273,15,22,8.58566665649414,17.494333267211914,0.24316661059856415,307,40,8,38.943572998046875,116,36,36,106,16.05033302307129,44.533538818359375,709.02520751953125,29.93600082397461,-6.105000019073486,36.04100036621094,0.8833332657814026,17.494333267211914,"list(c(-121.620401084553, -121.45119356318, -121.45119356318, -121.620401084553, -121.620401084553, 41.9237574315944, 41.9237574315944, 42.0588925667296, 42.0588925667296, 41.9237574315944))"
14,'-82500:442500',-82500,442500,0.013888889,1,2,7.854541778564453,17.275999069213867,-0.6340000629425049,395,49,10,39.8646125793457,143,43,43,136,15.433416366577148,42.754215240478516,737.2874755859375,29.327999114990234,-6.769999980926514,36.097999572753906,0.09416663646697998,17.275999069213867,"list(c(-121.078405501237, -120.909197979864, -120.909197979864, -121.078405501237, -121.078405501237, 41.9291725526406, 41.9291725526406, 42.0643076877758, 42.0643076877758, 41.9291725526406))"
15,'-67500:442500',-67500,442500,0.03030303,1,2,6.94154167175293,16.24333381652832,-1.5110000371932983,442,54,11,40.430137634277344,158,46,46,150,14.919416427612305,42.217994689941406,729.99615478515625,27.820999145507812,-7.51800012588501,35.3390007019043,-0.6746665835380554,16.24333381652832,"list(c(-120.897724120497, -120.728516599124, -120.728516599124, -120.897724120497, -120.897724120497, 41.930461934081, 41.930461934081, 42.0655970692161, 42.0655970692161, 41.930461934081))"
16,'-37500:442500',-37500,442500,0.333333333,1,1,7.85604190826416,16.60466766357422,-0.36383333802223206,373,49,10,42.80795669555664,144,40,46,137,13.93041706085205,42.0439338684082,694.615478515625,27.128000259399414,-6.005000114440918,33.132999420166016,0.4453332722187042,16.428667068481445,"list(c(-120.536344951393, -120.367137430021, -120.367137430021, -120.536344951393, -120.536344951393, 41.9322671113369, 41.9322671113369, 42.067402246472, 42.067402246472, 41.9322671113369))"
17,'-22500:442500',-22500,442500,0.015037564,17,48,7.011083126068115,16.043333053588867,-1.0729999542236328,427,52,12,39.773826599121094,155,46,46,145,13.895999908447266,41.9641227722168,703.2955322265625,26.59600067138672,-6.51800012588501,33.1140022277832,-0.25150004029273987,16.043333053588867,"list(c(-120.355649787872, -120.1864422665, -120.1864422665, -120.355649787872, -120.355649787872, 41.9327828855336, 41.9327828855336, 42.0679180206687, 42.0679180206687, 41.9327828855336))"
18,'-7500:442500',-7500,442500,0.01539515,7,14,5.285416603088379,14.53933334350586,-2.5929999351501465,467,55,14,36.326988220214844,161,54,54,148,12.940166473388672,40.12081527709961,702.2679443359375,24.725000381469727,-7.5279998779296875,32.25299835205078,-1.4831665754318237,14.53933334350586,"list(c(-120.174952655212, -120.005745133839, -120.005745133839, -120.174952655212, -120.174952655212, 41.9330407741763, 41.9330407741763, 42.0681759093114, 42.0681759093114, 41.9330407741763))"
19,'-352500:427500',-352500,427500,0.010680689,26,375,11.979217529296875,15.374796867370605,8.811991691589355,1940,323,11,73.676513671875,931,76,92,874,8.725508689880371,56.37788009643555,271.26715087890625,19.904878616333008,4.428048610687256,15.476829528808594,9.127439498901367,15.120121955871582,"list(c(-124.320105195555, -124.150897674182, -124.150897674182, -124.320105195555, -124.320105195555, 41.7267541229529, 41.7267541229529, 41.861889258088, 41.861889258088, 41.7267541229529))"
20,'-337500:427500',-337500,427500,0.015389384,28,211,11.525833129882812,16.409500122070312,7.353333473205566,2088,363,10,77.969024658203125,1036,69,84,975,11.185500144958496,54.211700439453125,374.57470703125,23.395999908447266,2.763000011444092,20.632999420166016,7.659667015075684,15.896333694458008,"list(c(-124.140095741276, -123.970888219904, -123.970888219904, -124.140095741276, -124.140095741276, 41.7326669978409, 41.7326669978409, 41.867802132976, 41.867802132976, 41.7326669978409))"
21,'-322500:427500',-322500,427500,0.008114144,10,37,10.318583488464355,16.36750030517578,5.744666576385498,1807,326,10,79.07659912109375,917,62,76,865,13.228833198547363,53.221893310546875,445.1626892089844,25.80699920654297,0.9509999752044678,24.855998992919922,6.104000091552734,15.768333435058594,"list(c(-123.96005702497, -123.790849503597, -123.790849503597, -123.96005702497, -123.96005702497, 41.7383232941583, 41.7383232941583, 41.8734584292934, 41.8734584292934, 41.7383232941583))"
22,'-307500:427500',-307500,427500,0.017065706,32,108,8.703457832336426,15.07783317565918,4.13100004196167,1683,302,12,76.62335968017578,845,68,80,794,13.078916549682617,51.02772521972656,463.2375183105469,24.621000289916992,-1.0099999904632568,25.631000518798828,4.566166877746582,14.37833309173584,"list(c(-123.779990338279, -123.610782816907, -123.610782816907, -123.779990338279, -123.779990338279, 41.7437229450177, 41.7437229450177, 41.8788580801529, 41.8788580801529, 41.7437229450177))"
23,'-292500:427500',-292500,427500,0.011093668,2,4,8.65999984741211,15.881166458129883,2.997833251953125,1511,269,11,75.83129119873047,754,64,73,708,13.758166313171387,49.416927337646484,534.90521240234375,26.23900032043457,-1.6019999980926514,27.840999603271484,3.446333408355713,15.28950023651123,"list(c(-123.599896974059, -123.430689452686, -123.430689452686, -123.599896974059, -123.599896974059, 41.7488658865332, 41.7488658865332, 41.8840010216684, 41.8840010216684, 41.7488658865332))"
24,'-277500:427500',-277500,427500,0.006750547,3,4,11.800000190734863,19.734498977661133,4.597166538238525,1169,215,7,82.629730224609375,613,40,51,590,16.24016571044922,49.15751266479492,624.138427734375,32.11399841308594,-0.9229999780654907,33.0369987487793,4.9608330726623535,19.659000396728516,"list(c(-123.419778226314, -123.250570704941, -123.250570704941, -123.419778226314, -123.419778226314, 41.7537520578255, 41.7537520578255, 41.8888871929606, 41.8888871929606, 41.7537520578255))"
25,'-262500:427500',-262500,427500,0.029627932,16,20,9.673500061035156,17.62649917602539,2.868499994277954,967,174,9,75.15091705322266,491,49,54,463,15.292499542236328,48.16383743286133,609.43603515625,29.288999557495117,-2.4619998931884766,31.750999450683594,3.299833297729492,17.311832427978516,"list(c(-123.239635390148, -123.070427868776, -123.070427868776, -123.239635390148, -123.239635390148, 41.7583814010269, 41.7583814010269, 41.8935165361621, 41.8935165361621, 41.7583814010269))"
26,'-247500:427500',-247500,427500,0.001265823,1,2,10.015625,18.32633399963379,2.692999839782715,739,133,9,73.10448455810547,375,45,46,353,15.917583465576172,47.542137145996094,644.869384765625,30.520000457763672,-2.9609999656677246,33.48099899291992,3.115833282470703,18.10533332824707,"list(c(-123.059469761708, -122.890262240336, -122.890262240336, -123.059469761708, -123.059469761708, 41.762753861287, 41.762753861287, 41.8978889964221, 41.8978889964221, 41.762753861287))"
27,'-232500:427500',-232500,427500,0.012210475,19,32,10.326749801635742,18.885833740234375,2.6560001373291016,624,109,10,68.2287826538086,308,44,44,286,16.118000030517578,47.010440826416016,669.5018310546875,31.125999450683594,-3.1600000858306885,34.2859992980957,3.051333427429199,18.885833740234375,"list(c(-122.879282638126, -122.710075116754, -122.710075116754, -122.879282638126, -122.879282638126, 41.7668693867764, 41.7668693867764, 41.9020045219115, 41.9020045219115, 41.7668693867764))"
28,'-217500:427500',-217500,427500,0.010687942,15,55,9.3248748779296875,17.863832473754883,1.9191666841506958,678,115,11,64.77371978759766,324,50,50,298,15.550415992736816,46.49271011352539,659.262451171875,29.632999420166016,-3.813999891281128,33.446998596191406,2.3338334560394287,17.863832473754883,"list(c(-122.699075317465, -122.529867796093, -122.529867796093, -122.699075317465, -122.699075317465, 41.7707279286918, 41.7707279286918, 41.9058630638269, 41.9058630638269, 41.7707279286918))"
29,'-202500:427500',-202500,427500,0.01059294,10,18,11.484416961669922,20.901500701904297,3.0326666831970215,510,84,9,61.80523681640625,242,42,42,219,17.093666076660156,45.92355728149414,740.49237060546875,33.65800094604492,-3.563999891281128,37.22200012207031,3.302500009536743,20.901500701904297,"list(c(-122.518849098663, -122.349641577291, -122.349641577291, -122.518849098663, -122.518849098663, 41.7743294412599, 41.7743294412599, 41.909464576395, 41.909464576395, 41.7743294412599))"
30,'-187500:427500',-187500,427500,0.033583682,6,22,6.981166839599609,15.393500328063965,-0.12016669660806656,726,118,11,60.608402252197266,331,55,55,303,14.710000038146973,45.56295394897461,641.60906982421875,26.608999252319336,-5.676000118255615,32.28499984741211,0.45100000500679016,15.393500328063965,"list(c(-122.338605281477, -122.169397760105, -122.169397760105, -122.338605281477, -122.338605281477, 41.7776738817413, 41.7776738817413, 41.9128090168764, 41.9128090168764, 41.7776738817413))"
31,'-172500:427500',-172500,427500,0.046532677,69,319,8.092499732971191,17.27983283996582,-0.42450007796287537,369,58,9,50.89452362060547,161,39,39,140,16.827499389648438,44.896080017089844,724.82269287109375,30.15399932861328,-7.327000141143799,37.48099899291992,0.19916653633117676,17.27983283996582,"list(c(-122.158345166426, -121.989137645054, -121.989137645054, -122.158345166426, -122.158345166426, 41.780761210434, 41.780761210434, 41.9158963455691, 41.9158963455691, 41.780761210434))"
32,'-157500:427500',-157500,427500,0.01737729,11,25,7.895333290100098,16.988332748413086,-0.29600000381469727,409,60,10,47.640708923339844,169,42,42,152,16.182167053222656,44.78500747680664,709.9571533203125,29.304000854492188,-6.828999996185303,36.132999420166016,0.3033334016799927,16.988332748413086,"list(c(-121.978070054737, -121.808862533364, -121.808862533364, -121.978070054737, -121.978070054737, 41.7835913906774, 41.7835913906774, 41.9187265258125, 41.9187265258125, 41.7835913906774))"
33,'-142500:427500',-142500,427500,0.075382204,27,90,8.552624702453613,17.721166610717773,0.12050016969442368,337,46,9,42.781517028808594,132,37,37,120,16.2329158782959,44.35950469970703,723.33892822265625,30.222999572753906,-6.370999813079834,36.593997955322266,0.7638334035873413,17.721166610717773,"list(c(-121.797781248284, -121.628573726911, -121.628573726911, -121.797781248284, -121.797781248284, 41.7861643888544, 41.7861643888544, 41.9212995239895, 41.9212995239895, 41.7861643888544))"
34,'-127500:427500',-127500,427500,0.018079654,21,53,8.81391716003418,17.933666229248047,0.43849992752075195,316,42,8,40.80937194824219,120,34,34,111,15.474666595458984,43.18672561645508,718.51336669921875,30.07699966430664,-5.755000114440918,35.832000732421875,1.159333348274231,17.933666229248047,"list(c(-121.617480049538, -121.448272528166, -121.448272528166, -121.617480049538, -121.617480049538, 41.7884801743953, 41.7884801743953, 41.9236153095304, 41.9236153095304, 41.7884801743953))"
35,'-112500:427500',-112500,427500,0.031405187,42,130,8.697291374206543,17.262832641601562,0.5239999294281006,318,39,8,37.4225959777832,114,36,36,107,16.425416946411133,45.89772033691406,689.1212158203125,29.652000427246094,-6.134999752044678,35.7869987487793,1.1621665954589844,17.262832641601562,"list(c(-121.437167761508, -121.267960240136, -121.267960240136, -121.437167761508, -121.437167761508, 41.7905387197796, 41.7905387197796, 41.9256738549147, 41.9256738549147, 41.7905387197796))"
36,'-37500:427500',-37500,427500,0.03371215,8,14,7.884958267211914,16.611833572387695,-0.3621666133403778,374,49,9,43.499759674072266,145,39,46,137,14.090916633605957,42.28205490112305,695.34765625,27.184999465942383,-6.140999794006348,33.32600021362305,0.43633341789245605,16.459667205810547,"list(c(-120.53548561787, -120.366278096497, -120.366278096497, -120.53548561787, -120.53548561787, 41.7969720948836, 41.7969720948836, 41.9321072300187, 41.9321072300187, 41.7969720948836))"
37,'-22500:427500',-22500,427500,0.016705602,39,160,7.031291484832764,16.232833862304688,-1.0056666135787964,439,54,11,40.247859954833984,160,47,47,149,13.994083404541016,41.739742279052734,709.741943359375,26.930999755859375,-6.595999717712402,33.527000427246094,-0.21283328533172607,16.232833862304688,"list(c(-120.355134180281, -120.185926658909, -120.185926658909, -120.355134180281, -120.355134180281, 41.7974867924392, 41.7974867924392, 41.9326219275743, 41.9326219275743, 41.7974867924392))"
38,'-7500:427500',-7500,427500,0.019538638,5,11,8.049541473388672,17.441999435424805,-0.7736666202545166,363,47,9,41.501983642578125,137,40,46,129,14.613083839416504,41.727821350097656,747.352783203125,28.415000915527344,-6.605000019073486,35.02000045776367,0.050833385437726974,17.42366600036621,"list(c(-120.174780784768, -120.005573263396, -120.005573263396, -120.174780784768, -120.174780784768, 41.7977441427476, 41.7977441427476, 41.9328792778828, 41.9328792778828, 41.7977441427476))"
39,'-352500:412500',-352500,412500,0.090584566,17,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"list(c(-124.31207397179, -124.142866450418, -124.142866450418, -124.31207397179, -124.31207397179, 41.5916293204572, 41.5916293204572, 41.7267644555923, 41.7267644555923, 41.5916293204572))"
40,'-337500:412500',-337500,412500,0.017977283,7,23,11.433791160583496,15.812166213989258,7.7801666259765625,2009,348,9,77.79602813720703,995,66,82,933,11.106583595275879,57.2209358215332,334.8399353027344,22.47599983215332,3.065999984741211,19.40999984741211,8.116167068481445,15.318666458129883,"list(c(-124.132404996471, -123.963197475098, -123.963197475098, -124.132404996471, -124.132404996471, 41.5975299561955, 41.5975299561955, 41.7326650913306, 41.7326650913306, 41.5975299561955))"
41,'-322500:412500',-322500,412500,0.015151515,1,1,11.24929141998291,17.17733383178711,6.322500228881836,1862,333,8,80.37791442871094,948,57,72,895,13.028916358947754,52.82135772705078,448.35736083984375,26.22800064086914,1.562000036239624,24.666000366210938,6.6598334312438965,16.726499557495117,"list(c(-123.952706925081, -123.783499403709, -123.783499403709, -123.952706925081, -123.952706925081, 41.6031745410157, 41.6031745410157, 41.7383096761508, 41.7383096761508, 41.6031745410157))"
42,'-292500:412500',-292500,412500,0.013888889,1,1,10.186416625976562,17.555334091186523,4.020999908447266,1404,254,9,79.23120880126953,720,53,64,681,14.658833503723145,49.76011657714844,558.15869140625,28.631000518798828,-0.828000009059906,29.458999633789062,4.430500030517578,17.138166427612305,"list(c(-123.593228632698, -123.424021111326, -123.424021111326, -123.593228632698, -123.593228632698, 41.61369529571, 41.61369529571, 41.7488304308451, 41.7488304308451, 41.61369529571))"
43,'-277500:412500',-277500,412500,0.013263239,13,34,9.197957992553711,16.718833923339844,2.9046666622161865,1151,208,9,76.263519287109375,584,53,59,551,14.917583465576172,49.454925537109375,570.83013916015625,28,-2.1640000343322754,30.163999557495117,3.3238332271575928,16.313499450683594,"list(c(-123.413450983947, -123.244243462574, -123.244243462574, -123.413450983947, -123.413450983947, 41.6185713419304, 41.6185713419304, 41.7537064770655, 41.7537064770655, 41.6185713419304))"
44,'-262500:412500',-262500,412500,0.003937008,1,2,8.278833389282227,15.943166732788086,2.003499984741211,1090,193,11,72.86560821533203,541,58,61,508,14.578166961669922,48.69940185546875,577.3056640625,26.98200035095215,-2.953000068664551,29.935001373291016,2.5261666774749756,15.473166465759277,"list(c(-123.233649383498, -123.064441862126, -123.064441862126, -123.233649383498, -123.233649383498, 41.6231910899355, 41.6231910899355, 41.7583262250706, 41.7583262250706, 41.6231910899355))"
45,'-247500:412500',-247500,412500,0.006796402,4,5,8.934499740600586,17.085166931152344,1.9334999322891235,843,151,10,72.71974182128906,424,50,51,399,15.390000343322754,47.589595794677734,624.72698974609375,28.78700065612793,-3.552000045776367,32.3390007019043,2.4519999027252197,16.743999481201172,"list(c(-123.053825120164, -122.884617598792, -122.884617598792, -123.053825120164, -123.053825120164, 41.6275544853638, 41.6275544853638, 41.7626896204989, 41.7626896204989, 41.6275544853638))"
46,'-232500:412500',-232500,412500,0.001265823,1,2,8.438041687011719,16.751832962036133,1.4261666536331177,820,142,11,69.08675384521484,400,52,52,375,15.23741626739502,46.982662200927734,633.5762939453125,28.256999969482422,-4.175000190734863,32.43199920654297,1.9086666107177734,16.751832962036133,"list(c(-122.873979483734, -122.704771962361, -122.704771962361, -122.873979483734, -122.873979483734, 41.6316614768483, 41.6316614768483, 41.7667966119834, 41.7667966119834, 41.6316614768483))"
47,'-217500:412500',-217500,412500,0.033385169,57,242,10.728583335876465,19.75283432006836,2.510000228881836,528,88,11,64.40612030029297,255,42,42,237,16.968000411987305,46.81731414794922,712.74481201171875,32.4630012512207,-3.7799999713897705,36.24300003051758,2.9256668090820312,19.75283432006836,"list(c(-122.694113764917, -122.524906243545, -122.524906243545, -122.694113764917, -122.694113764917, 41.6355120160208, 41.6355120160208, 41.7706471511559, 41.7706471511559, 41.6355120160208))"
48,'-202500:412500',-202500,412500,0.005235602,1,1,11.436166763305664,20.684499740600586,3.0920000076293945,543,90,10,64.3129653930664,259,42,42,242,17.592832565307617,47.091285705566406,731.753662109375,33.584999084472656,-3.7739999294281006,37.3589973449707,3.366999864578247,20.684499740600586,"list(c(-122.514229255292, -122.345021733919, -122.345021733919, -122.514229255292, -122.514229255292, 41.6391060575164, 41.6391060575164, 41.7742411926515, 41.7742411926515, 41.6391060575164))"
49,'-187500:412500',-187500,412500,0.028333344,12,35,5.540958404541016,13.837666511535645,-1.0891667604446411,903,140,14,60.14649200439453,400,66,66,373,14.094249725341797,45.39795684814453,622.07647705078125,24.520999908447266,-6.525000095367432,31.04599952697754,-0.3980001211166382,13.837666511535645,"list(c(-122.334327247246, -122.165119725873, -122.165119725873, -122.334327247246, -122.334327247246, 41.6424435589769, 41.6424435589769, 41.777578694112, 41.777578694112, 41.6424435589769))"
50,'-172500:412500',-172500,412500,0.077348479,35,208,7.1595001220703125,15.971166610717773,-0.6168333888053894,536,82,11,53.200523376464844,231,48,48,211,15.783499717712402,45.05966567993164,681.9893798828125,28.040000915527344,-6.98799991607666,35.02799987792969,0.13383328914642334,15.971166610717773,"list(c(-122.154409033922, -121.98520151255, -121.98520151255, -122.154409033922, -122.154409033922, 41.6455244810549, 41.6455244810549, 41.78065961619, 41.78065961619, 41.6455244810549))"
51,'-157500:412500',-157500,412500,0.01194656,7,8,7.875999927520752,17.065000534057617,-0.3736666738986969,440,65,10,48.90531539916992,182,42,42,167,16.029333114624023,44.27870178222656,715.8055419921875,29.363000869750977,-6.8379998207092285,36.20100021362305,0.37800005078315735,17.065000534057617,"list(c(-121.974475909165, -121.805268387793, -121.805268387793, -121.974475909165, -121.974475909165, 41.6483487874166, 41.6483487874166, 41.7834839225518, 41.7834839225518, 41.6483487874166))"
52,'-142500:412500',-142500,412500,0.013818027,2,2,7.453249931335449,16.506834030151367,-0.6953334212303162,433,60,10,45.79881286621094,170,42,42,158,15.195000648498535,43.23147964477539,706.01959228515625,28.229999542236328,-6.918000221252441,35.14799880981445,0.12549996376037598,16.506834030151367,"list(c(-121.794529167462, -121.62532164609, -121.62532164609, -121.794529167462, -121.794529167462, 41.6509164447455, 41.6509164447455, 41.7860515798806, 41.7860515798806, 41.6509164447455))"
53,'-127500:412500',-127500,412500,0.035296842,33,81,7.47308349609375,16.58449935913086,-0.4865000247955322,435,58,11,43.3798942565918,163,43,43,155,14.49316692352295,42.61066818237305,702.84979248046875,27.79199981689453,-6.2210001945495605,34.01300048828125,0.3244999349117279,16.58449935913086,"list(c(-121.614570103889, -121.445362582517, -121.445362582517, -121.614570103889, -121.614570103889, 41.6532274227443, 41.6532274227443, 41.7883625578795, 41.7883625578795, 41.6532274227443))"
54,'-112500:412500',-112500,412500,0.022823768,22,71,8.974416732788086,18.65016746520996,0.1888333112001419,349,46,8,42.55646514892578,132,35,35,125,16.205833435058594,43.23284912109375,758.01885986328125,31.235000610351562,-6.25,37.48500061035156,0.9540000557899475,18.65016746520996,"list(c(-121.434600014055, -121.265392492682, -121.265392492682, -121.434600014055, -121.434600014055, 41.6552816941387, 41.6552816941387, 41.7904168292738, 41.7904168292738, 41.6552816941387))"
55,'-97500:412500',-97500,412500,0.008547009,1,1,8.86691665649414,18.594499588012695,0.040666740387678146,354,46,8,41.57839584350586,132,37,37,126,16.145000457763672,42.936546325683594,762.264404296875,31.2189998626709,-6.382999897003174,37.60200119018555,0.799000084400177,18.594499588012695,"list(c(-121.254620194043, -121.085412672671, -121.085412672671, -121.254620194043, -121.254620194043, 41.6570792346785, 41.6570792346785, 41.7922143698136, 41.7922143698136, 41.6570792346785))"
56,'-52500:412500',-52500,412500,0.024390244,1,1,7.904874801635742,17.585832595825195,-0.9879998564720154,399,51,9,41.61107635498047,150,42,42,140,15.810916900634766,42.606689453125,763.897216796875,29.631999969482422,-7.476999759674072,37.10900115966797,-0.2569999396800995,17.585832595825195,"list(c(-120.714635319776, -120.545427798403, -120.545427798403, -120.714635319776, -120.714635319776, 41.660931274083, 41.660931274083, 41.7960664092181, 41.7960664092181, 41.660931274083))"
57,'-37500:412500',-37500,412500,0.01376341,15,33,8.10616683959961,17.716167449951172,-0.8680000901222229,382,49,9,42.29872131347656,145,40,46,136,15.845833778381348,42.86248779296875,763.697265625,29.670000076293945,-7.299000263214111,36.96900177001953,-0.1873333901166916,17.659000396728516,"list(c(-120.534629547482, -120.36542202611, -120.36542202611, -120.534629547482, -120.534629547482, 41.6617017092654, 41.6617017092654, 41.7968368444005, 41.7968368444005, 41.6617017092654))"
58,'-22500:412500',-22500,412500,0.009240536,8,12,5.3810834884643555,14.398500442504883,-1.8303333520889282,532,64,14,38.487701416015625,185,58,58,171,12.750499725341797,40.8931999206543,671.41351318359375,24.246000289916992,-6.934000015258789,31.18000030517578,-0.8995000123977661,14.398500442504883,"list(c(-120.354620530628, -120.185413009255, -120.185413009255, -120.354620530628, -120.354620530628, 41.6622153377768, 41.6622153377768, 41.7973504729119, 41.7973504729119, 41.6622153377768))"
